Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.70126878
Total DOS in Cell and MT Volumes =   22.10348006  18.92730796
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.94315322           0.67275284           0.42662871
  1    -1          -0.38007364           0.34356424           0.18952424
  1     0          -0.38007364           0.34356424           0.18952424
  1     1          -0.38007364           0.34356424           0.18952424
  2    -2           1.26664586           4.04442133           3.57203488
  2    -1           1.26664586           4.04442133           3.57203488
  2     0           1.26664586           4.04442133           3.57203488
  2     1           1.26664586           4.04442133           3.57203488
  2     2           1.26664586           4.04442133           3.57203488
  3    -3           0.00837344           0.02369263           0.00981895
  3    -2           0.00837344           0.02369263           0.00981895
  3    -1           0.00837344           0.02369263           0.00981895
  3     0           0.00837344           0.02369263           0.00981895
  3     1           0.00837344           0.02369263           0.00981895
  3     2           0.00837344           0.02369263           0.00981895
  3     3           0.00837344           0.02369263           0.00981895
  4    -4           0.00027073           0.00134216           0.00035549
  4    -3           0.00027073           0.00134216           0.00035549
  4    -2           0.00027073           0.00134216           0.00035549
  4    -1           0.00027073           0.00134216           0.00035549
  4     0           0.00027073           0.00134216           0.00035549
  4     1           0.00027073           0.00134216           0.00035549
  4     2           0.00027073           0.00134216           0.00035549
  4     3           0.00027073           0.00134216           0.00035549
  4     4           0.00027073           0.00134216           0.00035549
Atom: V , Spin: 1, Partial Phase Shift and DOS at Energy =    0.70126878
Total DOS in Cell and MT Volumes =   35.06328063  31.75009668
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.76210959           0.82198458           0.56792826
  1    -1          -0.20728223           0.48205180           0.27746121
  1     0          -0.20728223           0.48205180           0.27746121
  1     1          -0.20728223           0.48205180           0.27746121
  2    -2           1.00447478           6.52972839           6.05963759
  2    -1           1.00447478           6.52972839           6.05963759
  2     0           1.00447478           6.52972839           6.05963759
  2     1           1.00447478           6.52972839           6.05963759
  2     2           1.00447478           6.52972839           6.05963759
  3    -3           0.00228588           0.01930302           0.00697064
  3    -2           0.00228588           0.01930302           0.00697064
  3    -1           0.00228588           0.01930302           0.00697064
  3     0           0.00228588           0.01930302           0.00697064
  3     1           0.00228588           0.01930302           0.00697064
  3     2           0.00228588           0.01930302           0.00697064
  3     3           0.00228588           0.01930302           0.00697064
  4    -4           0.00006372           0.00126418           0.00031137
  4    -3           0.00006372           0.00126418           0.00031137
  4    -2           0.00006372           0.00126418           0.00031137
  4    -1           0.00006372           0.00126418           0.00031137
  4     0           0.00006372           0.00126418           0.00031137
  4     1           0.00006372           0.00126418           0.00031137
  4     2           0.00006372           0.00126418           0.00031137
  4     3           0.00006372           0.00126418           0.00031137
  4     4           0.00006372           0.00126418           0.00031137
