Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    1.14047778
Total DOS in Cell and MT Volumes =    9.06069644   6.83494672
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.40686870           0.90204513           0.52929323
  1    -1          -0.70119137           0.64986898           0.40265636
  1     0          -0.70119137           0.64986898           0.40265636
  1     1          -0.70119137           0.64986898           0.40265636
  2    -2           1.37096114           1.02939615           0.89649413
  2    -1           1.37096114           1.41146291           1.22916100
  2     0           1.37096114           0.64732938           0.56382727
  2     1           1.37096114           1.41146291           1.22916100
  2     2           1.37096114           1.02939615           0.89649413
  3    -3           0.01959427           0.07247592           0.03263683
  3    -2           0.01959427           0.08815406           0.03969505
  3    -1           0.01959427           0.07711856           0.03472508
  3     0           0.01959427           0.06551197           0.02950446
  3     1           0.01959427           0.07711856           0.03472508
  3     2           0.01959427           0.08815406           0.03969505
  3     3           0.01959427           0.07247592           0.03263683
  4    -4           0.00074746           0.00739573           0.00207133
  4    -3           0.00074746           0.02896001           0.00811146
  4    -2           0.00074746           0.01834429           0.00513806
  4    -1           0.00074746           0.01094381           0.00306501
  4     0           0.00074746           0.00770015           0.00215677
  4     1           0.00074746           0.01094381           0.00306501
  4     2           0.00074746           0.01834429           0.00513806
  4     3           0.00074746           0.02896001           0.00811146
  4     4           0.00074746           0.00739573           0.00207133
Atom: V , Spin: 1, Partial Phase Shift and DOS at Energy =    1.14047778
Total DOS in Cell and MT Volumes =   15.01148852  12.53584020
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -1.14126612           0.54893719           0.35023184
  1    -1          -0.43286227           0.72206573           0.41065376
  1     0          -0.43286227           0.72206573           0.41065376
  1     1          -0.43286227           0.72206573           0.41065376
  2    -2           1.14374277           2.15356626           1.97170624
  2    -1           1.14374277           3.14357592           2.87807946
  2     0           1.14374277           1.16355660           1.06533302
  2     1           1.14374277           3.14357592           2.87807946
  2     2           1.14374277           2.15356626           1.97170624
  3    -3           0.00551259           0.05265531           0.02004968
  3    -2           0.00551259           0.07029046           0.02676406
  3    -1           0.00551259           0.05932426           0.02258788
  3     0           0.00551259           0.04265189           0.01624239
  3     1           0.00551259           0.05932426           0.02258788
  3     2           0.00551259           0.07029046           0.02676406
  3     3           0.00551259           0.05265531           0.02004968
  4    -4           0.00020595           0.00639556           0.00164099
  4    -3           0.00020595           0.02820522           0.00723762
  4    -2           0.00020595           0.01780120           0.00456787
  4    -1           0.00020595           0.01035681           0.00265740
  4     0           0.00020595           0.00580367           0.00148923
  4     1           0.00020595           0.01035681           0.00265740
  4     2           0.00020595           0.01780120           0.00456787
  4     3           0.00020595           0.02820522           0.00723762
  4     4           0.00020595           0.00639556           0.00164099
