Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.47925399
Total DOS in Cell and MT Volumes =   20.38688385  15.81829310
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.58601587           0.47539921           0.31450658
  1    -1          -0.19208491           1.74137265           0.95897057
  1     0          -0.19208491           1.74137265           0.95897057
  1     1          -0.19208491           1.74137265           0.95897057
  2    -2           1.27761170           2.49619176           2.23532681
  2    -1           1.27761170           3.69036150           3.30492339
  2     0           1.27761170           1.30202203           1.16573023
  2     1           1.27761170           3.69036150           3.30492339
  2     2           1.27761170           2.49619176           2.23532681
  3    -3           0.00407045           0.10928591           0.04394712
  3    -2           0.00407045           0.13376525           0.05378981
  3    -1           0.00407045           0.13717029           0.05515629
  3     0           0.00407045           0.06745933           0.02713337
  3     1           0.00407045           0.13717029           0.05515629
  3     2           0.00407045           0.13376525           0.05378981
  3     3           0.00407045           0.10928591           0.04394712
  4    -4           0.00010579           0.01333602           0.00345224
  4    -3           0.00010579           0.03260480           0.00844204
  4    -2           0.00010579           0.02208859           0.00571910
  4    -1           0.00010579           0.01927916           0.00499066
  4     0           0.00010579           0.00971877           0.00251629
  4     1           0.00010579           0.01927916           0.00499066
  4     2           0.00010579           0.02208859           0.00571910
  4     3           0.00010579           0.03260480           0.00844204
  4     4           0.00010579           0.01333602           0.00345224
Atom: V , Spin: 1, Partial Phase Shift and DOS at Energy =    0.47925399
Total DOS in Cell and MT Volumes =   36.25445492  31.79946231
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.41848307           0.42164401           0.30159146
  1    -1          -0.05795407           1.44393950           0.84481396
  1     0          -0.05795407           1.44393950           0.84481396
  1     1          -0.05795407           1.44393950           0.84481396
  2    -2           0.93121496           5.53320444           5.18187656
  2    -1           0.93121496           8.47497053           7.93876639
  2     0           0.93121496           2.59143836           2.42498673
  2     1           0.93121496           8.47497053           7.93876639
  2     2           0.93121496           5.53320444           5.18187656
  3    -3           0.00150118           0.09503706           0.03364402
  3    -2           0.00150118           0.11740203           0.04156040
  3    -1           0.00150118           0.12138541           0.04296892
  3     0           0.00150118           0.05551452           0.01965665
  3     1           0.00150118           0.12138541           0.04296892
  3     2           0.00150118           0.11740203           0.04156040
  3     3           0.00150118           0.09503706           0.03364402
  4    -4           0.00003930           0.01262139           0.00305421
  4    -3           0.00003930           0.02958133           0.00715986
  4    -2           0.00003930           0.02011833           0.00486936
  4    -1           0.00003930           0.01815455           0.00439313
  4     0           0.00003930           0.00908941           0.00219988
  4     1           0.00003930           0.01815455           0.00439313
  4     2           0.00003930           0.02011833           0.00486936
  4     3           0.00003930           0.02958133           0.00715986
  4     4           0.00003930           0.01262139           0.00305421
