Atom: Nb, Spin: 1, Partial Phase Shift and DOS at Energy =    0.72655556
Total DOS in Cell and MT Volumes =   13.47632239  10.14631075
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.97689593           0.57897365           0.35676937
  1    -1          -0.40553144           1.19280660           0.66777934
  1     0          -0.40553144           1.19280660           0.66777934
  1     1          -0.40553144           1.19280660           0.66777934
  2    -2           1.34474797           1.55290356           1.36619857
  2    -1           1.34474797           2.25406499           1.98307510
  2     0           1.34474797           0.85174214           0.74932204
  2     1           1.34474797           2.25406499           1.98307510
  2     2           1.34474797           1.55290356           1.36619857
  3    -3           0.00875239           0.09378662           0.03976257
  3    -2           0.00875239           0.11181915           0.04740640
  3    -1           0.00875239           0.11412149           0.04838095
  3     0           0.00875239           0.06328432           0.02683499
  3     1           0.00875239           0.11412149           0.04838095
  3     2           0.00875239           0.11181915           0.04740640
  3     3           0.00875239           0.09378662           0.03976257
  4    -4           0.00027282           0.01027757           0.00275833
  4    -3           0.00027282           0.02747087           0.00737405
  4    -2           0.00027282           0.01891502           0.00507729
  4    -1           0.00027282           0.01436380           0.00385500
  4     0           0.00027282           0.00845633           0.00226981
  4     1           0.00027282           0.01436380           0.00385500
  4     2           0.00027282           0.01891502           0.00507729
  4     3           0.00027282           0.02747087           0.00737405
  4     4           0.00027282           0.01027757           0.00275833
Atom: V , Spin: 1, Partial Phase Shift and DOS at Energy =    0.72655556
Total DOS in Cell and MT Volumes =   22.75314248  19.38542592
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.75594115           0.40772985           0.27533877
  1    -1          -0.20577097           1.04491150           0.59643604
  1     0          -0.20577097           1.04491150           0.59643604
  1     1          -0.20577097           1.04491150           0.59643604
  2    -2           1.04558044           3.35994708           3.10222417
  2    -1           1.04558044           5.05154656           4.66460878
  2     0           1.04558044           1.66834759           1.53983957
  2     1           1.04558044           5.05154656           4.66460878
  2     2           1.04558044           3.35994708           3.10222417
  3    -3           0.00298904           0.07604937           0.02786465
  3    -2           0.00298904           0.09526845           0.03490572
  3    -1           0.00298904           0.09638451           0.03531375
  3     0           0.00298904           0.04554665           0.01669099
  3     1           0.00298904           0.09638451           0.03531375
  3     2           0.00298904           0.09526845           0.03490572
  3     3           0.00298904           0.07604937           0.02786465
  4    -4           0.00009491           0.00954166           0.00237248
  4    -3           0.00009491           0.02509761           0.00624153
  4    -2           0.00009491           0.01733156           0.00431010
  4    -1           0.00009491           0.01343519           0.00334060
  4     0           0.00009491           0.00757992           0.00188492
  4     1           0.00009491           0.01343519           0.00334060
  4     2           0.00009491           0.01733156           0.00431010
  4     3           0.00009491           0.02509761           0.00624153
  4     4           0.00009491           0.00954166           0.00237248
