Atom: V , Spin: 1, Partial Phase Shift and DOS at Energy =    0.96394084
Total DOS in Cell and MT Volumes =   21.97312134  19.55912662
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.98457817           0.52049017           0.33508803
  1    -1          -0.33629921           0.31408483           0.17800230
  1     0          -0.33629921           0.31408483           0.17800230
  1     1          -0.33629921           0.31408483           0.17800230
  2    -2           1.11854345           4.07402158           3.72770039
  2    -1           1.11854345           4.07402158           3.72770039
  2     0           1.11854345           4.07402158           3.72770039
  2     1           1.11854345           4.07402158           3.72770039
  2     2           1.11854345           4.07402158           3.72770039
  3    -3           0.00475611           0.01844731           0.00695687
  3    -2           0.00475611           0.01844731           0.00695687
  3    -1           0.00475611           0.01844731           0.00695687
  3     0           0.00475611           0.01844731           0.00695687
  3     1           0.00475611           0.01844731           0.00695687
  3     2           0.00475611           0.01844731           0.00695687
  3     3           0.00475611           0.01844731           0.00695687
  4    -4           0.00017150           0.00123751           0.00031463
  4    -3           0.00017150           0.00123751           0.00031463
  4    -2           0.00017150           0.00123751           0.00031463
  4    -1           0.00017150           0.00123751           0.00031463
  4     0           0.00017150           0.00123751           0.00031463
  4     1           0.00017150           0.00123751           0.00031463
  4     2           0.00017150           0.00123751           0.00031463
  4     3           0.00017150           0.00123751           0.00031463
  4     4           0.00017150           0.00123751           0.00031463
