Atom: V , Spin: 1, Partial Phase Shift and DOS at Energy =    0.73292514
Total DOS in Cell and MT Volumes =   25.44680610  21.57200748
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.75659736           0.45140470           0.30277086
  1    -1          -0.20700560           1.21023328           0.68925778
  1     0          -0.20700560           1.21023328           0.68925778
  1     1          -0.20700560           1.21023328           0.68925778
  2    -2           1.04843255           3.73885502           3.44666148
  2    -1           1.04843255           5.55014540           5.11687595
  2     0           1.04843255           1.92756464           1.77644702
  2     1           1.04843255           5.55014540           5.11687595
  2     2           1.04843255           3.73885502           3.44666148
  3    -3           0.00311592           0.09235392           0.03396374
  3    -2           0.00311592           0.11557134           0.04250133
  3    -1           0.00311592           0.12083841           0.04443775
  3     0           0.00311592           0.04962720           0.01825272
  3     1           0.00311592           0.12083841           0.04443775
  3     2           0.00311592           0.11557134           0.04250133
  3     3           0.00311592           0.09235392           0.03396374
  4    -4           0.00009975           0.01160568           0.00289256
  4    -3           0.00009975           0.02553442           0.00636517
  4    -2           0.00009975           0.01897941           0.00473107
  4    -1           0.00009975           0.01518689           0.00378509
  4     0           0.00009975           0.00936875           0.00233527
  4     1           0.00009975           0.01518689           0.00378509
  4     2           0.00009975           0.01897941           0.00473107
  4     3           0.00009975           0.02553442           0.00636517
  4     4           0.00009975           0.01160568           0.00289256
