Atom: V , Spin: 1, Partial Phase Shift and DOS at Energy =    0.65364897
Total DOS in Cell and MT Volumes =   10.26441069   9.41802296
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.59987001           0.05102592           0.03853361
  1    -1          -0.11870767           0.16056304           0.09883267
  1     0          -0.11870767           0.16056304           0.09883267
  1     1          -0.11870767           0.16056304           0.09883267
  2    -2           1.57721761           1.68679526           1.61422835
  2    -1           1.57721761           2.61073001           2.49595616
  2     0           1.57721761           0.76286050           0.73250053
  2     1           1.57721761           2.61073001           2.49595616
  2     2           1.57721761           1.68679526           1.61422835
  3    -3           0.00392343           0.04941111           0.01819189
  3    -2           0.00392343           0.03313053           0.01219713
  3    -1           0.00392343           0.04158589           0.01530828
  3     0           0.00392343           0.06114894           0.02251732
  3     1           0.00392343           0.04158589           0.01530828
  3     2           0.00392343           0.03313053           0.01219713
  3     3           0.00392343           0.04941111           0.01819189
  4    -4           0.00015582           0.00496578           0.00125042
  4    -3           0.00015582           0.01094399           0.00275525
  4    -2           0.00015582           0.00720781           0.00181492
  4    -1           0.00015582           0.00782249           0.00196912
  4     0           0.00015582           0.00250049           0.00063042
  4     1           0.00015582           0.00782249           0.00196912
  4     2           0.00015582           0.00720781           0.00181492
  4     3           0.00015582           0.01094399           0.00275525
  4     4           0.00015582           0.00496578           0.00125042
