Atom: V , Spin: 1, Partial Phase Shift and DOS at Energy =    0.67659779
Total DOS in Cell and MT Volumes =   25.79192054  21.99608491
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.69075232           0.39169026           0.26588906
  1    -1          -0.17385846           1.20755386           0.69045138
  1     0          -0.17385846           1.20755386           0.69045138
  1     1          -0.17385846           1.20755386           0.69045138
  2    -2           1.03021997           3.78910425           3.50278926
  2    -1           1.03021997           5.80524525           5.36727659
  2     0           1.03021997           1.77296325           1.63830193
  2     1           1.03021997           5.80524525           5.36727659
  2     2           1.03021997           3.78910425           3.50278926
  3    -3           0.00274417           0.08829142           0.03224706
  3    -2           0.00274417           0.10695406           0.03906229
  3    -1           0.00274417           0.10958224           0.04002137
  3     0           0.00274417           0.05635519           0.02058560
  3     1           0.00274417           0.10958224           0.04002137
  3     2           0.00274417           0.10695406           0.03906229
  3     3           0.00274417           0.08829142           0.03224706
  4    -4           0.00008478           0.01123506           0.00278506
  4    -3           0.00008478           0.02579977           0.00639648
  4    -2           0.00008478           0.01800215           0.00446320
  4    -1           0.00008478           0.01568517           0.00388814
  4     0           0.00008478           0.00845151           0.00209529
  4     1           0.00008478           0.01568517           0.00388814
  4     2           0.00008478           0.01800215           0.00446320
  4     3           0.00008478           0.02579977           0.00639648
  4     4           0.00008478           0.01123506           0.00278506
