Atom: V , Spin: 1, Partial Phase Shift and DOS at Energy =    0.67643180
Total DOS in Cell and MT Volumes =   34.82921368  31.50829417
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.69061756           0.77717686           0.52783105
  1    -1          -0.17379114           0.43137143           0.24668330
  1     0          -0.17379114           0.43137143           0.24668330
  1     1          -0.17379114           0.43137143           0.24668330
  2    -2           1.02994861           6.53112483           6.04077315
  2    -1           1.02994861           6.53112483           6.04077315
  2     0           1.02994861           6.53112483           6.04077315
  2     1           1.02994861           6.53112483           6.04077315
  2     2           1.02994861           6.53112483           6.04077315
  3    -3           0.00274225           0.01361794           0.00497411
  3    -2           0.00274225           0.01361794           0.00497411
  3    -1           0.00274225           0.01361794           0.00497411
  3     0           0.00274225           0.01361794           0.00497411
  3     1           0.00274225           0.01361794           0.00497411
  3     2           0.00274225           0.01361794           0.00497411
  3     3           0.00274225           0.01361794           0.00497411
  4    -4           0.00008470           0.00077476           0.00019208
  4    -3           0.00008470           0.00077476           0.00019208
  4    -2           0.00008470           0.00077476           0.00019208
  4    -1           0.00008470           0.00077476           0.00019208
  4     0           0.00008470           0.00077476           0.00019208
  4     1           0.00008470           0.00077476           0.00019208
  4     2           0.00008470           0.00077476           0.00019208
  4     3           0.00008470           0.00077476           0.00019208
  4     4           0.00008470           0.00077476           0.00019208
