Atom: V , Spin: 1, Partial Phase Shift and DOS at Energy =    0.67643180
Total DOS in Cell and MT Volumes =   25.83916115  22.03683038
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.69061756           0.39343706           0.26706840
  1    -1          -0.17379114           1.20904796           0.69128705
  1     0          -0.17379114           1.20904796           0.69128705
  1     1          -0.17379114           1.20904796           0.69128705
  2    -2           1.02994861           3.79704206           3.51013021
  2    -1           1.02994861           5.81303310           5.37447919
  2     0           1.02994861           1.78105102           1.64578123
  2     1           1.02994861           5.81303310           5.37447919
  2     2           1.02994861           3.79704206           3.51013021
  3    -3           0.00274225           0.08841996           0.03229304
  3    -2           0.00274225           0.10718563           0.03914568
  3    -1           0.00274225           0.10981938           0.04010676
  3     0           0.00274225           0.05632084           0.02057245
  3     1           0.00274225           0.10981938           0.04010676
  3     2           0.00274225           0.10718563           0.03914568
  3     3           0.00274225           0.08841996           0.03229304
  4    -4           0.00008470           0.01124729           0.00278801
  4    -3           0.00008470           0.02587127           0.00641403
  4    -2           0.00008470           0.01804794           0.00447442
  4    -1           0.00008470           0.01570378           0.00389265
  4     0           0.00008470           0.00846754           0.00209921
  4     1           0.00008470           0.01570378           0.00389265
  4     2           0.00008470           0.01804794           0.00447442
  4     3           0.00008470           0.02587127           0.00641403
  4     4           0.00008470           0.01124729           0.00278801
