Atom: V , Spin: 1, Partial Phase Shift and DOS at Energy =    0.67655356
Total DOS in Cell and MT Volumes =   34.82569597  31.50500122
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.69071661           0.77714469           0.52781957
  1    -1          -0.17384022           0.43141029           0.24671057
  1     0          -0.17384022           0.43141029           0.24671057
  1     1          -0.17384022           0.43141029           0.24671057
  2    -2           1.03013846           6.53039314           6.04009633
  2    -1           1.03013846           6.53039314           6.04009633
  2     0           1.03013846           6.53039314           6.04009633
  2     1           1.03013846           6.53039314           6.04009633
  2     2           1.03013846           6.53039314           6.04009633
  3    -3           0.00274364           0.01362525           0.00497690
  3    -2           0.00274364           0.01362525           0.00497690
  3    -1           0.00274364           0.01362525           0.00497690
  3     0           0.00274364           0.01362525           0.00497690
  3     1           0.00274364           0.01362525           0.00497690
  3     2           0.00274364           0.01362525           0.00497690
  3     3           0.00274364           0.01362525           0.00497690
  4    -4           0.00008476           0.00077533           0.00019222
  4    -3           0.00008476           0.00077533           0.00019222
  4    -2           0.00008476           0.00077533           0.00019222
  4    -1           0.00008476           0.00077533           0.00019222
  4     0           0.00008476           0.00077533           0.00019222
  4     1           0.00008476           0.00077533           0.00019222
  4     2           0.00008476           0.00077533           0.00019222
  4     3           0.00008476           0.00077533           0.00019222
  4     4           0.00008476           0.00077533           0.00019222
