Atom: V , Spin: 1, Partial Phase Shift and DOS at Energy =    0.67655356
Total DOS in Cell and MT Volumes =   25.80570437  22.00796122
==========================================================================
  l     m         Partial_Phase         Partial_DOS         Partial_DOS_MT
  0     0          -0.69071661           0.39218272           0.26622163
  1    -1          -0.17384022           1.20800441           0.69070406
  1     0          -0.17384022           1.20800441           0.69070406
  1     1          -0.17384022           1.20800441           0.69070406
  2    -2           1.03013846           3.79139669           3.50490846
  2    -1           1.03013846           5.80758931           5.36944320
  2     0           1.03013846           1.77520408           1.64037373
  2     1           1.03013846           5.80758931           5.36944320
  2     2           1.03013846           3.79139669           3.50490846
  3    -3           0.00274364           0.08832879           0.03226044
  3    -2           0.00274364           0.10701962           0.03908590
  3    -1           0.00274364           0.10964976           0.04004569
  3     0           0.00274364           0.05634733           0.02058256
  3     1           0.00274364           0.10964976           0.04004569
  3     2           0.00274364           0.10701962           0.03908590
  3     3           0.00274364           0.08832879           0.03226044
  4    -4           0.00008476           0.01123850           0.00278589
  4    -3           0.00008476           0.02582136           0.00640178
  4    -2           0.00008476           0.01801586           0.00446656
  4    -1           0.00008476           0.01569060           0.00388946
  4     0           0.00008476           0.00845605           0.00209640
  4     1           0.00008476           0.01569060           0.00388946
  4     2           0.00008476           0.01801586           0.00446656
  4     3           0.00008476           0.02582136           0.00640178
  4     4           0.00008476           0.01123850           0.00278589
